data;kod_stanowiska;pm10
2021-01-01;MpKrakZloRog-PM10-24g;50.27
2021-01-02;MpKrakZloRog-PM10-24g;56.21
2021-01-03;MpKrakZloRog-PM10-24g;50.6
2021-01-04;MpKrakZloRog-PM10-24g;53.28
2021-01-05;MpKrakZloRog-PM10-24g;21.53
2021-01-06;MpKrakZloRog-PM10-24g;35.76
2021-01-07;MpKrakZloRog-PM10-24g;36.9
2021-01-08;MpKrakZloRog-PM10-24g;40.47
2021-01-09;MpKrakZloRog-PM10-24g;37.92
2021-01-10;MpKrakZloRog-PM10-24g;56.08
2021-01-11;MpKrakZloRog-PM10-24g;78.85
2021-01-12;MpKrakZloRog-PM10-24g;81.2
2021-01-13;MpKrakZloRog-PM10-24g;21.09
2021-01-14;MpKrakZloRog-PM10-24g;23.41
2021-01-15;MpKrakZloRog-PM10-24g;27.72
2021-01-16;MpKrakZloRog-PM10-24g;24.81
2021-01-17;MpKrakZloRog-PM10-24g;34.68
2021-01-18;MpKrakZloRog-PM10-24g;83.81
2021-01-19;MpKrakZloRog-PM10-24g;52.42
2021-01-20;MpKrakZloRog-PM10-24g;28.58
2021-01-21;MpKrakZloRog-PM10-24g;64.85
2021-01-22;MpKrakZloRog-PM10-24g;34.37
2021-01-23;MpKrakZloRog-PM10-24g;24.75
2021-01-24;MpKrakZloRog-PM10-24g;26.63
2021-01-25;MpKrakZloRog-PM10-24g;23.88
2021-01-26;MpKrakZloRog-PM10-24g;34.06
2021-01-27;MpKrakZloRog-PM10-24g;36.08
2021-01-28;MpKrakZloRog-PM10-24g;54.72
2021-01-29;MpKrakZloRog-PM10-24g;28.51
2021-01-30;MpKrakZloRog-PM10-24g;40.58
2021-01-31;MpKrakZloRog-PM10-24g;33.61
2021-02-01;MpKrakZloRog-PM10-24g;62.73
2021-02-02;MpKrakZloRog-PM10-24g;94.01
2021-02-03;MpKrakZloRog-PM10-24g;50.98
2021-02-04;MpKrakZloRog-PM10-24g;17.38
2021-02-05;MpKrakZloRog-PM10-24g;32.31
2021-02-06;MpKrakZloRog-PM10-24g;23.53
2021-02-07;MpKrakZloRog-PM10-24g;27.05
2021-02-08;MpKrakZloRog-PM10-24g;36.43
2021-02-09;MpKrakZloRog-PM10-24g;93.77
2021-02-10;MpKrakZloRog-PM10-24g;87.87
2021-02-11;MpKrakZloRog-PM10-24g;43.75
2021-02-12;MpKrakZloRog-PM10-24g;36.39
2021-02-13;MpKrakZloRog-PM10-24g;60.22
2021-02-14;MpKrakZloRog-PM10-24g;36.32
2021-02-15;MpKrakZloRog-PM10-24g;71.79
2021-02-16;MpKrakZloRog-PM10-24g;105.76
2021-02-17;MpKrakZloRog-PM10-24g;57.63
2021-02-18;MpKrakZloRog-PM10-24g;47.58
2021-02-19;MpKrakZloRog-PM10-24g;77.74
2021-02-20;MpKrakZloRog-PM10-24g;76.92
2021-02-21;MpKrakZloRog-PM10-24g;66.78
2021-02-22;MpKrakZloRog-PM10-24g;69.0
2021-02-23;MpKrakZloRog-PM10-24g;76.34
2021-02-24;MpKrakZloRog-PM10-24g;116.99
2021-02-25;MpKrakZloRog-PM10-24g;118.51
2021-02-26;MpKrakZloRog-PM10-24g;79.27
2021-02-27;MpKrakZloRog-PM10-24g;27.21
2021-02-28;MpKrakZloRog-PM10-24g;29.47
2021-03-01;MpKrakZloRog-PM10-24g;35.17
2021-03-02;MpKrakZloRog-PM10-24g;60.33
2021-03-03;MpKrakZloRog-PM10-24g;72.77
2021-03-04;MpKrakZloRog-PM10-24g;65.61
2021-03-05;MpKrakZloRog-PM10-24g;28.89
2021-03-06;MpKrakZloRog-PM10-24g;40.87
2021-03-07;MpKrakZloRog-PM10-24g;34.61
2021-03-08;MpKrakZloRog-PM10-24g;39.98
2021-03-09;MpKrakZloRog-PM10-24g;54.13
2021-03-10;MpKrakZloRog-PM10-24g;51.89
2021-03-11;MpKrakZloRog-PM10-24g;51.46
2021-03-12;MpKrakZloRog-PM10-24g;19.29
2021-03-13;MpKrakZloRog-PM10-24g;21.29
2021-03-14;MpKrakZloRog-PM10-24g;11.09
2021-03-15;MpKrakZloRog-PM10-24g;44.41
